airFiber 5,1200,100,1998,1,20
airFiber 2X,500,200,1056,2,10
NanoBeam M5-16,150,10,134,4,1.3
PowerBeam M2-400,150,20,158,5,1.5
PowerBeam M5-400,150,25,190,6,1.9
PowerBeam M5-620,150,30,398,7,4
PowerBeam 5AC-300,450,20,198,8,2
PowerBeam 5AC-620,450,30,458,9,4.5
NanoStation locoM2,150,5,98,10,1
