airFiber 5,1200.0,100.0,1998.0,1
airFiber 2X,500.0,200.0,1056.0,2
PowerBeam M5-400,150.0,25.0,190.0,5
PowerBeam M5-620,150.0,30.0,398.0,6
PowerHouse,500.0,50.0,450.0,10
